Module,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines
awscli/customizations/cloudtrail/subscribe.py,36,36,162,162,0,0,126,126,0
awscli/customizations/cloudtrail/utils.py,0,0,11,11,0,0,11,11,0
awscli/customizations/cloudtrail/validation.py,8,8,402,402,0,0,394,394,0
awscli/customizations/codeartifact/__init__.py,0,0,5,5,0,0,5,5,0
awscli/customizations/codeartifact/login.py,9,9,361,361,0,0,352,352,0
awscli/customizations/codecommit.py,3,3,102,102,0,0,99,99,0
awscli/customizations/codedeploy/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/codedeploy/codedeploy.py,0,0,21,21,0,0,21,21,0
awscli/customizations/codedeploy/deregister.py,12,64,79,79,0,52,67,15,-52
awscli/customizations/codedeploy/install.py,6,6,50,50,0,0,44,44,0
awscli/customizations/codedeploy/locationargs.py,1,1,45,45,0,0,44,44,0
awscli/customizations/codedeploy/push.py,3,3,98,98,0,0,95,95,0
awscli/customizations/codedeploy/register.py,3,3,62,62,0,0,59,59,0
awscli/customizations/codedeploy/systems.py,15,15,109,109,0,0,94,94,0
awscli/customizations/codedeploy/uninstall.py,6,6,32,32,0,0,26,26,0
awscli/customizations/codedeploy/utils.py,0,0,66,66,0,0,66,66,0
awscli/customizations/commands.py,2,2,229,229,0,0,227,227,0
awscli/customizations/configservice/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/configservice/getstatus.py,0,0,58,58,0,0,58,58,0
awscli/customizations/configservice/putconfigurationrecorder.py,0,0,29,29,0,0,29,29,0
awscli/customizations/configservice/rename_cmd.py,0,0,5,5,0,0,5,5,0
awscli/customizations/configservice/subscribe.py,0,0,83,83,0,0,83,83,0
awscli/customizations/configure/__init__.py,0,0,24,24,0,0,24,24,0
awscli/customizations/configure/addmodel.py,0,0,37,37,0,0,37,37,0
awscli/customizations/configure/configure.py,0,0,67,67,0,0,67,67,0
awscli/customizations/configure/get.py,1,1,65,65,0,0,64,64,0
awscli/customizations/configure/list.py,4,4,52,52,0,0,48,48,0
awscli/customizations/configure/set.py,0,0,57,57,0,0,57,57,0
awscli/customizations/configure/writer.py,1,1,116,116,0,0,115,115,0
awscli/customizations/datapipeline/__init__.py,19,19,186,186,0,0,167,167,0
awscli/customizations/datapipeline/constants.py,0,0,6,6,0,0,6,6,0
awscli/customizations/datapipeline/createdefaultroles.py,11,11,77,77,0,0,66,66,0
awscli/customizations/datapipeline/listrunsformatter.py,0,0,30,30,0,0,30,30,0
awscli/customizations/datapipeline/translator.py,3,3,121,121,0,0,118,118,0
awscli/customizations/dlm/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/dlm/constants.py,0,0,9,9,0,0,9,9,0
awscli/customizations/dlm/createdefaultrole.py,3,3,59,59,0,0,56,56,0
awscli/customizations/dlm/dlm.py,0,0,5,5,0,0,5,5,0
awscli/customizations/dlm/iam.py,0,0,24,24,0,0,24,24,0
awscli/customizations/dynamodb.py,0,0,22,22,0,0,22,22,0
awscli/customizations/ec2/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/ec2/addcount.py,3,3,50,50,0,0,47,47,0
awscli/customizations/ec2/bundleinstance.py,0,0,72,72,0,0,72,72,0
awscli/customizations/ec2/decryptpassword.py,8,8,63,63,0,0,55,55,0
awscli/customizations/ec2/paginate.py,0,0,27,27,0,0,27,27,0
awscli/customizations/ec2/protocolarg.py,0,0,15,15,0,0,15,15,0
awscli/customizations/ec2/runinstances.py,4,4,77,77,0,0,73,73,0
awscli/customizations/ec2/secgroupsimplify.py,11,11,99,99,0,0,88,88,0
awscli/customizations/ecr.py,0,0,40,40,0,0,40,40,0
awscli/customizations/ecr_public.py,0,0,20,20,0,0,20,20,0
awscli/customizations/ecs/__init__.py,0,0,8,8,0,0,8,8,0
awscli/customizations/ecs/deploy.py,13,13,189,189,0,0,176,176,0
awscli/customizations/ecs/exceptions.py,0,0,18,18,0,0,18,18,0
awscli/customizations/ecs/executecommand.py,0,0,49,49,0,0,49,49,0
awscli/customizations/ecs/filehelpers.py,1,1,41,41,0,0,40,40,0
awscli/customizations/eks/__init__.py,0,0,7,7,0,0,7,7,0
awscli/customizations/eks/exceptions.py,0,0,2,2,0,0,2,2,0
awscli/customizations/eks/get_token.py,2,2,111,111,0,0,109,109,0
awscli/customizations/eks/kubeconfig.py,5,5,107,107,0,0,102,102,0
awscli/customizations/eks/ordered_yaml.py,0,0,15,15,0,0,15,15,0
awscli/customizations/eks/update_kubeconfig.py,2,2,104,104,0,0,102,102,0
awscli/customizations/emr/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/emr/addinstancegroups.py,0,0,27,27,0,0,27,27,0
awscli/customizations/emr/addsteps.py,0,0,18,18,0,0,18,18,0
awscli/customizations/emr/addtags.py,0,0,10,10,0,0,10,10,0
awscli/customizations/emr/applicationutils.py,4,4,67,67,0,0,63,63,0
awscli/customizations/emr/argumentschema.py,0,0,19,19,0,0,19,19,0
awscli/customizations/emr/command.py,1,1,49,49,0,0,48,48,0
awscli/customizations/emr/config.py,3,3,64,64,0,0,61,61,0
awscli/customizations/emr/configutils.py,5,5,35,35,0,0,30,30,0
awscli/customizations/emr/constants.py,0,0,140,140,0,0,140,140,0
awscli/customizations/emr/createcluster.py,4,4,247,247,0,0,243,243,0
awscli/customizations/emr/createdefaultroles.py,10,10,154,154,0,0,144,144,0
awscli/customizations/emr/describecluster.py,3,3,43,43,0,0,40,40,0
awscli/customizations/emr/emr.py,0,0,35,35,0,0,35,35,0
awscli/customizations/emr/emrfsutils.py,0,0,107,107,0,0,107,107,0
awscli/customizations/emr/emrutils.py,14,14,143,143,0,0,129,129,0
awscli/customizations/emr/exceptions.py,0,0,68,68,0,0,68,68,0
awscli/customizations/emr/hbase.py,0,0,97,97,0,0,97,97,0
awscli/customizations/emr/hbaseutils.py,0,0,7,7,0,0,7,7,0
awscli/customizations/emr/helptext.py,0,0,58,58,0,0,58,58,0
awscli/customizations/emr/installapplications.py,0,0,24,24,0,0,24,24,0
awscli/customizations/emr/instancefleetsutils.py,0,0,33,33,0,0,33,33,0
awscli/customizations/emr/instancegroupsutils.py,0,0,50,50,0,0,50,50,0
awscli/customizations/emr/listclusters.py,4,4,45,45,0,0,41,41,0
awscli/customizations/emr/modifyclusterattributes.py,0,0,30,30,0,0,30,30,0
awscli/customizations/emr/ssh.py,57,57,85,85,0,0,28,28,0
awscli/customizations/emr/sshutils.py,11,11,41,41,0,0,30,30,0
awscli/customizations/emr/steputils.py,0,0,111,111,0,0,111,111,0
awscli/customizations/emr/terminateclusters.py,0,0,11,11,0,0,11,11,0
awscli/customizations/emrcontainers/__init__.py,0,0,5,5,0,0,5,5,0
awscli/customizations/emrcontainers/base36.py,0,0,13,13,0,0,13,13,0
awscli/customizations/emrcontainers/constants.py,0,0,3,3,0,0,3,3,0
awscli/customizations/emrcontainers/eks.py,8,10,14,14,0,2,6,4,-2
awscli/customizations/emrcontainers/iam.py,2,4,9,9,0,2,7,5,-2
awscli/customizations/emrcontainers/update_role_trust_policy.py,2,56,74,74,0,54,72,18,-54
awscli/customizations/flatten.py,3,3,83,83,0,0,80,80,0
awscli/customizations/gamelift/__init__.py,0,0,7,7,0,0,7,7,0
awscli/customizations/gamelift/getlog.py,0,0,19,19,0,0,19,19,0
awscli/customizations/gamelift/uploadbuild.py,7,7,75,75,0,0,68,68,0
awscli/customizations/generatecliskeleton.py,0,0,59,59,0,0,59,59,0
awscli/customizations/globalargs.py,0,0,65,65,0,0,65,65,0
awscli/customizations/history/__init__.py,0,0,55,55,0,0,55,55,0
awscli/customizations/history/commands.py,0,0,37,37,0,0,37,37,0
awscli/customizations/history/constants.py,0,0,3,3,0,0,3,3,0
awscli/customizations/history/db.py,13,13,152,152,0,0,139,139,0
awscli/customizations/history/filters.py,0,0,14,14,0,0,14,14,0
awscli/customizations/history/list.py,0,0,64,64,0,0,64,64,0
awscli/customizations/history/show.py,3,3,168,168,0,0,165,165,0
awscli/customizations/iamvirtmfa.py,0,0,34,34,0,0,34,34,0
awscli/customizations/iot.py,0,0,9,9,0,0,9,9,0
awscli/customizations/iot_data.py,0,0,7,7,0,0,7,7,0
awscli/customizations/kinesis.py,0,0,8,8,0,0,8,8,0
awscli/customizations/kms.py,0,0,4,4,0,0,4,4,0
awscli/customizations/mturk.py,0,0,5,5,0,0,5,5,0
awscli/customizations/opsworks.py,5,5,236,236,0,0,231,231,0
awscli/customizations/opsworkscm.py,0,0,5,5,0,0,5,5,0
awscli/customizations/overridesslcommonname.py,0,0,21,21,0,0,21,21,0
awscli/customizations/paginate.py,3,3,132,132,0,0,129,129,0
awscli/customizations/preview.py,0,0,51,51,0,0,51,51,0
awscli/customizations/putmetricdata.py,0,0,63,63,0,0,63,63,0
awscli/customizations/quicksight.py,0,0,5,5,0,0,5,5,0
awscli/customizations/rds.py,0,0,37,37,0,0,37,37,0
awscli/customizations/rekognition.py,0,0,9,9,0,0,9,9,0
awscli/customizations/removals.py,2,2,30,30,0,0,28,28,0
awscli/customizations/route53.py,0,0,5,5,0,0,5,5,0
awscli/customizations/s3/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/s3/comparator.py,0,0,65,65,0,0,65,65,0
awscli/customizations/s3/fileformat.py,0,0,32,32,0,0,32,32,0
awscli/customizations/s3/filegenerator.py,2,2,185,185,0,0,183,183,0
awscli/customizations/s3/fileinfo.py,0,0,33,33,0,0,33,33,0
awscli/customizations/s3/fileinfobuilder.py,0,0,32,32,0,0,32,32,0
awscli/customizations/s3/filters.py,0,2,72,72,0,2,72,70,-2
awscli/customizations/s3/results.py,5,5,345,345,0,0,340,340,0
awscli/customizations/s3/s3.py,0,0,20,20,0,0,20,20,0
awscli/customizations/s3/s3handler.py,6,6,273,273,0,0,267,267,0
awscli/customizations/s3/subcommands.py,14,14,514,514,0,0,500,500,0
awscli/customizations/s3/syncstrategy/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/s3/syncstrategy/base.py,0,1,80,80,0,1,80,79,-1
awscli/customizations/s3/syncstrategy/delete.py,0,0,10,10,0,0,10,10,0
awscli/customizations/s3/syncstrategy/exacttimestamps.py,0,0,14,14,0,0,14,14,0
awscli/customizations/s3/syncstrategy/register.py,0,0,10,10,0,0,10,10,0
awscli/customizations/s3/syncstrategy/sizeonly.py,0,0,12,12,0,0,12,12,0
awscli/customizations/s3/transferconfig.py,1,1,53,53,0,0,52,52,0
awscli/customizations/s3/utils.py,7,7,381,381,0,0,374,374,0
awscli/customizations/s3errormsg.py,0,0,26,26,0,0,26,26,0
awscli/customizations/s3events.py,2,2,39,39,0,0,37,37,0
awscli/customizations/s3uploader.py,5,5,103,103,0,0,98,98,0
awscli/customizations/sagemaker.py,0,0,5,5,0,0,5,5,0
awscli/customizations/scalarparse.py,0,0,25,25,0,0,25,25,0
awscli/customizations/servicecatalog/__init__.py,0,0,5,5,0,0,5,5,0
awscli/customizations/servicecatalog/exceptions.py,0,0,8,8,0,0,8,8,0
awscli/customizations/servicecatalog/generate.py,0,0,11,11,0,0,11,11,0
awscli/customizations/servicecatalog/generatebase.py,0,0,22,22,0,0,22,22,0
awscli/customizations/servicecatalog/generateproduct.py,0,0,37,37,0,0,37,37,0
awscli/customizations/servicecatalog/generateprovisioningartifact.py,0,0,21,21,0,0,21,21,0
awscli/customizations/servicecatalog/helptext.py,0,0,17,17,0,0,17,17,0
awscli/customizations/servicecatalog/utils.py,0,0,11,11,0,0,11,11,0
awscli/customizations/sessendemail.py,0,0,49,49,0,0,49,49,0
awscli/customizations/sessionmanager.py,1,1,70,70,0,0,69,69,0
awscli/customizations/sms_voice.py,0,0,4,4,0,0,4,4,0
awscli/customizations/streamingoutputarg.py,1,1,58,58,0,0,57,57,0
awscli/customizations/toplevelbool.py,0,0,55,55,0,0,55,55,0
awscli/customizations/translate.py,0,0,10,10,0,0,10,10,0
awscli/customizations/utils.py,0,0,96,96,0,0,96,96,0
awscli/customizations/waiters.py,2,2,118,118,0,0,116,116,0
awscli/errorhandler.py,1,1,37,37,0,0,36,36,0
awscli/formatter.py,7,7,159,159,0,0,152,152,0
awscli/handlers.py,0,0,149,149,0,0,149,149,0
awscli/help.py,7,7,203,203,0,0,196,196,0
awscli/paramfile.py,0,0,70,70,0,0,70,70,0
awscli/plugin.py,0,0,24,24,0,0,24,24,0
awscli/schema.py,0,0,73,73,0,0,73,73,0
awscli/shorthand.py,6,6,267,267,0,0,261,261,0
awscli/table.py,13,13,264,264,0,0,251,251,0
awscli/text.py,0,0,68,68,0,0,68,68,0
awscli/topictags.py,0,12,102,102,0,12,102,90,-12
awscli/utils.py,8,8,174,174,0,0,166,166,0
Total,971,1096,16131,16131,0,125,15160,15035,-125
