Module,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines
awscli/customizations/ecs/filehelpers.py,1,28,41,41,0,27,40,13,-27
awscli/customizations/eks/__init__.py,0,0,7,7,0,0,7,7,0
awscli/customizations/eks/exceptions.py,0,0,2,2,0,0,2,2,0
awscli/customizations/eks/get_token.py,2,65,111,111,0,63,109,46,-63
awscli/customizations/eks/kubeconfig.py,5,75,107,107,0,70,102,32,-70
awscli/customizations/eks/ordered_yaml.py,0,5,15,15,0,5,15,10,-5
awscli/customizations/eks/update_kubeconfig.py,2,77,104,104,0,75,102,27,-75
awscli/customizations/emr/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/emr/addinstancegroups.py,0,16,27,27,0,16,27,11,-16
awscli/customizations/emr/addsteps.py,0,8,18,18,0,8,18,10,-8
awscli/customizations/emr/addtags.py,0,3,10,10,0,3,10,7,-3
awscli/customizations/emr/applicationutils.py,4,54,67,67,0,50,63,13,-50
awscli/customizations/emr/argumentschema.py,0,0,19,19,0,0,19,19,0
awscli/customizations/emr/command.py,1,31,49,49,0,30,48,18,-30
awscli/customizations/emr/config.py,3,39,64,64,0,36,61,25,-36
awscli/customizations/emr/configutils.py,5,20,35,35,0,15,30,15,-15
awscli/customizations/emr/constants.py,0,0,140,140,0,0,140,140,0
awscli/customizations/emr/createcluster.py,4,212,247,247,0,208,243,35,-208
awscli/customizations/emr/createdefaultroles.py,10,110,154,154,0,100,144,44,-100
awscli/customizations/emr/describecluster.py,3,29,43,43,0,26,40,14,-26
awscli/customizations/emr/emr.py,0,0,35,35,0,0,35,35,0
awscli/customizations/emr/emrfsutils.py,0,79,107,107,0,79,107,28,-79
awscli/customizations/emr/emrutils.py,14,108,143,143,0,94,129,35,-94
awscli/customizations/emr/exceptions.py,0,7,68,68,0,7,68,61,-7
awscli/customizations/emr/hbase.py,0,67,97,97,0,67,97,30,-67
awscli/customizations/emr/hbaseutils.py,0,5,7,7,0,5,7,2,-5
awscli/customizations/emr/helptext.py,0,0,58,58,0,0,58,58,0
awscli/customizations/emr/installapplications.py,0,11,24,24,0,11,24,13,-11
awscli/customizations/emr/instancefleetsutils.py,0,30,33,33,0,30,33,3,-30
awscli/customizations/emr/instancegroupsutils.py,0,45,50,50,0,45,50,5,-45
awscli/customizations/emr/listclusters.py,4,22,45,45,0,18,41,23,-18
awscli/customizations/emr/modifyclusterattributes.py,0,21,30,30,0,21,30,9,-21
awscli/customizations/emr/ssh.py,57,57,85,85,0,0,28,28,0
awscli/customizations/emr/sshutils.py,11,29,41,41,0,18,30,12,-18
awscli/customizations/emr/steputils.py,0,96,111,111,0,96,111,15,-96
awscli/customizations/emr/terminateclusters.py,0,3,11,11,0,3,11,8,-3
awscli/customizations/emrcontainers/__init__.py,0,0,5,5,0,0,5,5,0
awscli/customizations/emrcontainers/base36.py,0,0,13,13,0,0,13,13,0
awscli/customizations/emrcontainers/constants.py,0,0,3,3,0,0,3,3,0
awscli/customizations/emrcontainers/eks.py,8,10,14,14,0,2,6,4,-2
awscli/customizations/emrcontainers/iam.py,2,4,9,9,0,2,7,5,-2
awscli/customizations/emrcontainers/update_role_trust_policy.py,2,56,74,74,0,54,72,18,-54
awscli/customizations/flatten.py,3,23,83,83,0,20,80,60,-20
awscli/customizations/gamelift/__init__.py,0,0,7,7,0,0,7,7,0
awscli/customizations/gamelift/getlog.py,0,10,19,19,0,10,19,9,-10
awscli/customizations/gamelift/uploadbuild.py,7,56,75,75,0,49,68,19,-49
awscli/customizations/generatecliskeleton.py,0,33,59,59,0,33,59,26,-33
awscli/customizations/globalargs.py,0,42,65,65,0,42,65,23,-42
awscli/customizations/history/__init__.py,0,25,55,55,0,25,55,30,-25
awscli/customizations/history/commands.py,0,16,37,37,0,16,37,21,-16
awscli/customizations/history/constants.py,0,0,3,3,0,0,3,3,0
awscli/customizations/history/db.py,13,92,152,152,0,79,139,60,-79
awscli/customizations/history/filters.py,0,6,14,14,0,6,14,8,-6
awscli/customizations/history/list.py,0,43,64,64,0,43,64,21,-43
awscli/customizations/history/show.py,3,119,168,168,0,116,165,49,-116
awscli/customizations/iamvirtmfa.py,0,13,34,34,0,13,34,21,-13
awscli/customizations/iot.py,0,0,9,9,0,0,9,9,0
awscli/customizations/iot_data.py,0,4,7,7,0,4,7,3,-4
awscli/customizations/kinesis.py,0,2,8,8,0,2,8,6,-2
awscli/customizations/kms.py,0,1,4,4,0,1,4,3,-1
awscli/customizations/mturk.py,0,0,5,5,0,0,5,5,0
awscli/customizations/opsworks.py,5,178,236,236,0,173,231,58,-173
awscli/customizations/opsworkscm.py,0,0,5,5,0,0,5,5,0
awscli/customizations/overridesslcommonname.py,0,15,21,21,0,15,21,6,-15
awscli/customizations/paginate.py,3,44,132,132,0,41,129,88,-41
awscli/customizations/preview.py,0,19,51,51,0,19,51,32,-19
awscli/customizations/putmetricdata.py,0,23,63,63,0,23,63,40,-23
awscli/customizations/quicksight.py,0,0,5,5,0,0,5,5,0
awscli/customizations/rds.py,0,5,37,37,0,5,37,32,-5
awscli/customizations/rekognition.py,0,0,9,9,0,0,9,9,0
awscli/customizations/removals.py,2,2,30,30,0,0,28,28,0
awscli/customizations/route53.py,0,2,5,5,0,2,5,3,-2
awscli/customizations/s3/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/s3/comparator.py,0,58,65,65,0,58,65,7,-58
awscli/customizations/s3/fileformat.py,0,26,32,32,0,26,32,6,-26
awscli/customizations/s3/filegenerator.py,2,154,185,185,0,152,183,31,-152
awscli/customizations/s3/fileinfo.py,0,28,33,33,0,28,33,5,-28
awscli/customizations/s3/fileinfobuilder.py,0,27,32,32,0,27,32,5,-27
awscli/customizations/s3/filters.py,0,59,72,72,0,59,72,13,-59
awscli/customizations/s3/results.py,5,215,345,345,0,210,340,130,-210
awscli/customizations/s3/s3.py,0,2,20,20,0,2,20,18,-2
awscli/customizations/s3/s3handler.py,6,163,273,273,0,157,267,110,-157
awscli/customizations/s3/subcommands.py,14,357,514,514,0,343,500,157,-343
awscli/customizations/s3/syncstrategy/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/s3/syncstrategy/base.py,0,52,80,80,0,52,80,28,-52
awscli/customizations/s3/syncstrategy/delete.py,0,3,10,10,0,3,10,7,-3
awscli/customizations/s3/syncstrategy/exacttimestamps.py,0,7,14,14,0,7,14,7,-7
awscli/customizations/s3/syncstrategy/register.py,0,5,10,10,0,5,10,5,-5
awscli/customizations/s3/syncstrategy/sizeonly.py,0,5,12,12,0,5,12,7,-5
awscli/customizations/s3/transferconfig.py,1,35,53,53,0,34,52,18,-34
awscli/customizations/s3/utils.py,7,250,381,381,0,243,374,131,-243
awscli/customizations/s3errormsg.py,0,17,26,26,0,17,26,9,-17
awscli/customizations/s3events.py,2,19,39,39,0,17,37,20,-17
awscli/customizations/s3uploader.py,5,74,103,103,0,69,98,29,-69
awscli/customizations/sagemaker.py,0,0,5,5,0,0,5,5,0
awscli/customizations/scalarparse.py,0,16,25,25,0,16,25,9,-16
awscli/customizations/servicecatalog/__init__.py,0,0,5,5,0,0,5,5,0
awscli/customizations/servicecatalog/exceptions.py,0,3,8,8,0,3,8,5,-3
awscli/customizations/servicecatalog/generate.py,0,2,11,11,0,2,11,9,-2
awscli/customizations/servicecatalog/generatebase.py,0,14,22,22,0,14,22,8,-14
awscli/customizations/servicecatalog/generateproduct.py,0,25,37,37,0,25,37,12,-25
awscli/customizations/servicecatalog/generateprovisioningartifact.py,0,11,21,21,0,11,21,10,-11
awscli/customizations/servicecatalog/helptext.py,0,0,17,17,0,0,17,17,0
awscli/customizations/servicecatalog/utils.py,0,8,11,11,0,8,11,3,-8
awscli/customizations/sessendemail.py,0,13,49,49,0,13,49,36,-13
awscli/customizations/sessionmanager.py,1,38,70,70,0,37,69,32,-37
awscli/customizations/sms_voice.py,0,0,4,4,0,0,4,4,0
awscli/customizations/streamingoutputarg.py,1,20,58,58,0,19,57,38,-19
awscli/customizations/toplevelbool.py,0,12,55,55,0,12,55,43,-12
awscli/customizations/translate.py,0,0,10,10,0,0,10,10,0
awscli/customizations/utils.py,0,52,96,96,0,52,96,44,-52
awscli/customizations/waiters.py,2,16,118,118,0,14,116,102,-14
awscli/errorhandler.py,1,25,37,37,0,24,36,12,-24
awscli/formatter.py,7,127,159,159,0,120,152,32,-120
awscli/handlers.py,0,0,149,149,0,0,149,149,0
awscli/help.py,7,81,203,203,0,74,196,122,-74
awscli/paramfile.py,0,47,70,70,0,47,70,23,-47
awscli/plugin.py,0,2,24,24,0,2,24,22,-2
awscli/schema.py,0,2,73,73,0,2,73,71,-2
awscli/shorthand.py,6,202,267,267,0,196,261,65,-196
awscli/table.py,13,212,264,264,0,199,251,52,-199
awscli/text.py,0,59,68,68,0,59,68,9,-59
awscli/topictags.py,0,71,102,102,0,71,102,31,-71
awscli/utils.py,8,125,174,174,0,117,166,49,-117
Total,971,9812,16131,16131,0,8841,15160,6319,-8841
